Mietobjektschlüssel,Buchungskreis,Wirtschaftseinheit,Mieteinheit,Konditionsart,Miete pro Monat,Grundmiete
OS 6784/9866/1512,6784,9866,1512,2001,295.56,x
OS 6784/9866/1512,6784,9866,1512,7005,67.46,x
OS 6784/9866/1512,6784,9866,1512,8022,21.20,
OS 6784/9866/1512,6784,9866,1512,60B3,12.43,
OS 6784/9866/1256,6784,9866,1256,2001,108.07,x
OS 6784/9866/1256,6784,9866,1256,7005,67.46,x
OS 6784/9866/1256,6784,9866,1256,8022,48.95,
OS 6784/9866/1256,6784,9866,1256,60B3,12.43,
OS 6784/9866/1386,6784,9866,1386,2001,178.30,x
OS 6784/9866/1386,6784,9866,1386,7005,22.64,x
OS 6784/9866/1386,6784,9866,1386,8022,2.74,
OS 6784/9866/1386,6784,9866,1386,60B3,12.43,
OS 6784/9866/1517,6784,9866,1517,2001,161.70,x
OS 6784/9866/1517,6784,9866,1517,7005,22.64,x
OS 6784/9866/1517,6784,9866,1517,8022,51.19,
OS 6784/9866/1517,6784,9866,1517,60B3,12.43,
OS 6784/9866/1517,6784,9866,1517,30E5,-1.07,x
OS 6784/9866/1484,6784,9866,1484,2001,452.79,x
OS 6784/9866/1484,6784,9866,1484,3087,8.87,
OS 6784/9866/1484,6784,9866,1484,7005,21.20,x
OS 6784/9866/1484,6784,9866,1484,8022,1.09,
OS 6784/9866/1484,6784,9866,1484,30E5,-129.66,x
OS 6784/9866/1357,6784,9866,1357,2001,298.33,x
OS 6784/9866/1357,6784,9866,1357,7005,22.64,x
OS 6784/9866/1357,6784,9866,1357,8022,41.36,
OS 6784/9866/1357,6784,9866,1357,60B3,12.43,
OS 6784/9866/1489,6784,9866,1489,2001,329.52,x
OS 6784/9866/1489,6784,9866,1489,7005,22.64,x
OS 6784/9866/1489,6784,9866,1489,8022,41.36,
OS 6784/9866/1489,6784,9866,1489,60B3,12.43,
OS 6784/9866/1235,6784,9866,1235,2001,276.79,x
OS 6784/9866/1235,6784,9866,1235,7005,22.64,x
OS 6784/9866/1235,6784,9866,1235,8022,79.56,
OS 6784/9866/1235,6784,9866,1235,60B3,12.43,
OS 6784/9866/1340,6784,9866,1340,2001,32.44,x
OS 6784/9866/1340,6784,9866,1340,7005,21.20,x
OS 6784/9866/1340,6784,9866,1340,8022,35.41,
OS 6784/9866/1340,6784,9866,1340,60B3,12.43,
OS 6784/9866/1340,6784,9866,1340,30E5,-8.04,x
OS 6784/9866/1380,6784,9866,1380,2001,130.25,x
OS 6784/9866/1380,6784,9866,1380,7005,21.20,x
OS 6784/9866/1380,6784,9866,1380,8022,84.49,
OS 6784/9866/1380,6784,9866,1380,60B3,12.43,
OS 6784/9866/1499,6784,9866,1499,2001,387.06,x
OS 6784/9866/1499,6784,9866,1499,7005,22.64,x
OS 6784/9866/1499,6784,9866,1499,8022,14.03,
OS 6784/9866/1499,6784,9866,1499,60B3,12.43,
OS 6784/9866/1454,6784,9866,1454,2001,556.06,x
OS 6784/9866/1454,6784,9866,1454,7005,79.94,x
OS 6784/9866/1454,6784,9866,1454,8022,48.95,
OS 6784/9866/1454,6784,9866,1454,60B3,12.43,
OS 6784/9866/1284,6784,9866,1284,2001,213.62,x
OS 6784/9866/1284,6784,9866,1284,7005,77.42,x
OS 6784/9866/1284,6784,9866,1284,8022,33.90,
OS 6784/9866/1284,6784,9866,1284,60B3,12.43,
OS 6784/9866/1306,6784,9866,1306,2001,164.39,x
OS 6784/9866/1306,6784,9866,1306,7005,71.26,x
OS 6784/9866/1306,6784,9866,1306,8022,55.04,
OS 6784/9866/1306,6784,9866,1306,2001,452.79,x
OS 6784/9866/1306,6784,9866,1306,3087,8.87,
OS 6784/9866/1306,6784,9866,1306,7005,79.56,x
OS 6784/9866/1306,6784,9866,1306,8022,48.95,
OS 6784/9866/1306,6784,9866,1306,60B3,2.88,
OS 6784/9866/1306,6784,9866,1306,30E5,-159.83,x
OS 6784/9866/1656,6784,9866,1656,2001,311.18,x
OS 6784/9866/1656,6784,9866,1656,7005,71.26,x
OS 6784/9866/1656,6784,9866,1656,8022,35.15,
OS 6784/9866/1656,6784,9866,1656,60B3,12.43,
OS 6784/9866/1398,6784,9866,1398,2001,27.69,x
OS 6784/9866/1398,6784,9866,1398,7005,21.20,x
OS 6784/9866/1398,6784,9866,1398,8022,67.46,
OS 6784/9866/1398,6784,9866,1398,60B3,12.43,
OS 6784/9866/1398,6784,9866,1398,30E5,-0.76,x
OS 6784/9866/1662,6784,9866,1662,2001,130.25,x
OS 6784/9866/1662,6784,9866,1662,7005,21.20,x
OS 6784/9866/1662,6784,9866,1662,8022,57.61,
OS 6784/9866/1662,6784,9866,1662,60B3,12.43,
OS 6784/9866/1462,6784,9866,1462,2001,173.09,x
OS 6784/9866/1462,6784,9866,1462,7005,22.64,x
OS 6784/9866/1462,6784,9866,1462,8022,77.42,
OS 6784/9866/1462,6784,9866,1462,60B3,12.43,
OS 6784/9866/1462,6784,9866,1462,30E5,-4.85,x
OS 6784/9866/1589,6784,9866,1589,2001,46.82,x
OS 6784/9866/1589,6784,9866,1589,7005,22.64,x
OS 6784/9866/1589,6784,9866,1589,8022,14.03,
OS 6784/9866/1589,6784,9866,1589,60B3,12.43,
OS 6784/9866/1664,6784,9866,1664,2001,98.39,x
OS 6784/9866/1664,6784,9866,1664,7005,22.64,x
OS 6784/9866/1664,6784,9866,1664,8022,2.74,
OS 6784/9866/1664,6784,9866,1664,60B3,12.43,
OS 6784/9866/1414,6784,9866,1414,2001,7.37,x
OS 6784/9866/1414,6784,9866,1414,7005,22.64,x
OS 6784/9866/1414,6784,9866,1414,8022,67.46,
OS 6784/9866/1414,6784,9866,1414,60B3,12.43,
OS 6784/9866/1471,6784,9866,1471,2001,157.67,x
OS 6784/9866/1471,6784,9866,1471,7005,22.64,x
OS 6784/9866/1471,6784,9866,1471,8022,5.42,
OS 6784/9866/1471,6784,9866,1471,60B3,12.43,
OS 6784/9866/1413,6784,9866,1413,2001,7.37,x
OS 6784/9866/1413,6784,9866,1413,7005,22.64,x
OS 6784/9866/1413,6784,9866,1413,8022,84.49,
OS 6784/9866/1413,6784,9866,1413,60B3,12.43,
OS 6784/9866/1556,6784,9866,1556,2001,288.87,x
OS 6784/9866/1556,6784,9866,1556,7005,22.64,x
OS 6784/9866/1556,6784,9866,1556,8022,48.95,
OS 6784/9866/1556,6784,9866,1556,60B3,12.43,
OS 6784/9866/1661,6784,9866,1661,2001,282.48,x
OS 6784/9866/1661,6784,9866,1661,3087,8.87,
OS 6784/9866/1661,6784,9866,1661,7005,21.20,x
OS 6784/9866/1661,6784,9866,1661,8022,67.46,
OS 6784/9866/1661,6784,9866,1661,30E5,-13.49,x
OS 6784/9866/1760,6784,9866,1760,2001,344.47,x
OS 6784/9866/1760,6784,9866,1760,7005,21.20,x
OS 6784/9866/1760,6784,9866,1760,8022,84.49,
OS 6784/9866/1760,6784,9866,1760,60B3,12.43,
OS 6784/9866/1468,6784,9866,1468,2001,238.29,x
OS 6784/9866/1468,6784,9866,1468,7005,21.20,x
OS 6784/9866/1468,6784,9866,1468,8022,14.03,
OS 6784/9866/1468,6784,9866,1468,60B3,1.33,
OS 6784/9866/1586,6784,9866,1586,2001,60.19,x
OS 6784/9866/1586,6784,9866,1586,7005,21.20,x
OS 6784/9866/1586,6784,9866,1586,8022,84.49,
OS 6784/9866/1586,6784,9866,1586,60B3,1.33,
OS 6784/9866/1761,6784,9866,1761,2001,3.19,x
OS 6784/9866/1761,6784,9866,1761,7005,21.20,x
OS 6784/9866/1761,6784,9866,1761,8022,2.74,
OS 6784/9866/1761,6784,9866,1761,60B3,1.33,
OS 6784/9866/1682,6784,9866,1682,2001,330.91,x
OS 6784/9866/1682,6784,9866,1682,7005,21.20,x
OS 6784/9866/1682,6784,9866,1682,8022,55.04,
OS 6784/9866/1682,6784,9866,1682,60B3,1.33,
OS 6784/9866/1522,6784,9866,1522,2001,127.94,x
OS 6784/9866/1522,6784,9866,1522,7005,21.20,x
OS 6784/9866/1522,6784,9866,1522,8022,35.15,
OS 6784/9866/1522,6784,9866,1522,60B3,1.33,
OS 6784/9866/1522,6784,9866,1522,2001,309.82,x
OS 6784/9866/1522,6784,9866,1522,7005,79.56,x
OS 6784/9866/1522,6784,9866,1522,8022,35.15,
OS 6784/9866/1522,6784,9866,1522,20D6,-29.10,x
OS 6784/9866/1786,6784,9866,1786,2001,74.56,x
OS 6784/9866/1786,6784,9866,1786,7005,21.20,x
OS 6784/9866/1786,6784,9866,1786,8022,67.46,
OS 6784/9866/1786,6784,9866,1786,60B3,1.33,
OS 6784/9866/1602,6784,9866,1602,2001,85.04,x
OS 6784/9866/1602,6784,9866,1602,7005,21.20,x
OS 6784/9866/1602,6784,9866,1602,8022,46.35,
OS 6784/9866/1602,6784,9866,1602,60B3,1.33,
OS 6784/9866/1575,6784,9866,1575,2001,85.73,x
OS 6784/9866/1575,6784,9866,1575,7005,21.20,x
OS 6784/9866/1575,6784,9866,1575,8022,79.94,
OS 6784/9866/1575,6784,9866,1575,60B3,1.33,
OS 6784/9866/1707,6784,9866,1707,2001,262.98,x
OS 6784/9866/1707,6784,9866,1707,7005,35.41,x
OS 6784/9866/1707,6784,9866,1707,8022,14.03,
OS 6784/9866/1707,6784,9866,1707,60B3,1.33,
OS 6784/9866/1820,6784,9866,1820,2001,144.94,x
OS 6784/9866/1820,6784,9866,1820,3087,8.87,
OS 6784/9866/1820,6784,9866,1820,7005,35.41,x
OS 6784/9866/1820,6784,9866,1820,8022,41.36,
OS 6784/9866/1820,6784,9866,1820,60B3,2.88,
OS 6784/9866/1820,6784,9866,1820,30E5,-164.39,x
OS 6784/9866/1900,6784,9866,1900,2001,250.61,x
OS 6784/9866/1900,6784,9866,1900,7005,35.41,x
OS 6784/9866/1900,6784,9866,1900,8022,51.19,
OS 6784/9866/1900,6784,9866,1900,60B3,1.33,
OS 6784/9866/1617,6784,9866,1617,2001,386.49,x
OS 6784/9866/1617,6784,9866,1617,7005,67.46,x
OS 6784/9866/1617,6784,9866,1617,8022,55.04,
OS 6784/9866/1592,6784,9866,1592,2001,60.41,x
OS 6784/9866/1592,6784,9866,1592,7005,84.49,x
OS 6784/9866/1592,6784,9866,1592,8022,12.80,
OS 6784/9866/1592,6784,9866,1592,2001,360.16,x
OS 6784/9866/1592,6784,9866,1592,3087,8.87,
OS 6784/9866/1592,6784,9866,1592,7005,67.46,x
OS 6784/9866/1592,6784,9866,1592,8022,48.95,
OS 6784/9866/1592,6784,9866,1592,60B3,11.22,
OS 6784/9866/1592,6784,9866,1592,30E5,-174.19,x
OS 6784/9866/1831,6784,9866,1831,2001,35.97,x
OS 6784/9866/1831,6784,9866,1831,7005,35.41,x
OS 6784/9866/1831,6784,9866,1831,8022,35.15,
OS 6784/9866/1831,6784,9866,1831,60B3,1.33,
OS 6784/9866/1612,6784,9866,1612,2001,144.94,x
OS 6784/9866/1612,6784,9866,1612,3087,8.87,
OS 6784/9866/1612,6784,9866,1612,7005,35.41,x
OS 6784/9866/1612,6784,9866,1612,8022,35.15,
OS 6784/9866/1612,6784,9866,1612,60B3,8.87,
OS 6784/9866/1632,6784,9866,1632,2001,26.86,x
OS 6784/9866/1632,6784,9866,1632,7005,35.41,x
OS 6784/9866/1632,6784,9866,1632,8022,55.04,
OS 6784/9866/1632,6784,9866,1632,60B3,1.33,
OS 6784/9866/1868,6784,9866,1868,2001,308.87,x
OS 6784/9866/1868,6784,9866,1868,7005,35.41,x
OS 6784/9866/1868,6784,9866,1868,8022,2.74,
OS 6784/9866/1868,6784,9866,1868,60B3,1.33,
OS 6784/9866/1732,6784,9866,1732,2001,308.87,x
OS 6784/9866/1732,6784,9866,1732,7005,35.41,x
OS 6784/9866/1732,6784,9866,1732,8022,36.10,
OS 6784/9866/1732,6784,9866,1732,60B3,1.33,
OS 6784/9866/1786,6784,9866,1786,2001,244.39,x
OS 6784/9866/1786,6784,9866,1786,7005,35.41,x
OS 6784/9866/1786,6784,9866,1786,8022,55.04,
OS 6784/9866/1786,6784,9866,1786,60B3,1.33,
OS 6784/9866/1706,6784,9866,1706,2001,293.42,x
OS 6784/9866/1706,6784,9866,1706,7005,35.41,x
OS 6784/9866/1706,6784,9866,1706,8022,14.38,
OS 6784/9866/1706,6784,9866,1706,60B3,1.33,
OS 6784/9866/1984,6784,9866,1984,2001,234.00,x
OS 6784/9866/1984,6784,9866,1984,Z080,1.36,
OS 6784/9866/1984,6784,9866,1984,7005,35.41,x
OS 6784/9866/1984,6784,9866,1984,8022,22.55,
OS 6784/9866/1984,6784,9866,1984,60B3,1.33,
OS 6784/9866/1865,6784,9866,1865,2001,174.87,x
OS 6784/9866/1865,6784,9866,1865,7005,35.41,x
OS 6784/9866/1865,6784,9866,1865,8022,14.03,
OS 6784/9866/1865,6784,9866,1865,60B3,1.33,
OS 6784/9866/1883,6784,9866,1883,2001,103.52,x
OS 6784/9866/1883,6784,9866,1883,7005,35.41,x
OS 6784/9866/1883,6784,9866,1883,8022,77.42,
OS 6784/9866/1883,6784,9866,1883,60B3,1.33,
OS 6784/9866/1711,6784,9866,1711,2001,142.12,x
OS 6784/9866/1711,6784,9866,1711,7005,35.41,x
OS 6784/9866/1711,6784,9866,1711,8022,48.95,
OS 6784/9866/1711,6784,9866,1711,60B3,1.33,
OS 6784/9866/1949,6784,9866,1949,2001,213.22,x
OS 6784/9866/1949,6784,9866,1949,3087,8.87,
OS 6784/9866/1949,6784,9866,1949,7005,35.41,x
OS 6784/9866/1949,6784,9866,1949,8022,14.03,
OS 6784/9866/1949,6784,9866,1949,60B3,1.33,
OS 6784/9866/1949,6784,9866,1949,30E5,-40.50,x
OS 6784/9866/1698,6784,9866,1698,2001,361.39,x
OS 6784/9866/1698,6784,9866,1698,7005,35.41,x
OS 6784/9866/1698,6784,9866,1698,8022,48.95,
OS 6784/9866/1698,6784,9866,1698,60B3,1.33,
OS 6784/9866/1698,6784,9866,1698,30E5,-5.57,x
OS 6784/9866/1770,6784,9866,1770,2001,465.12,x
OS 6784/9866/1770,6784,9866,1770,7005,67.46,x
OS 6784/9866/1770,6784,9866,1770,8022,14.38,
OS 6784/9866/1770,6784,9866,1770,30E5,-5.58,x
OS 6784/9866/1700,6784,9866,1700,2001,48.10,x
OS 6784/9866/1700,6784,9866,1700,7005,35.41,x
OS 6784/9866/1700,6784,9866,1700,8022,41.36,
OS 6784/9866/1700,6784,9866,1700,60B3,1.33,
OS 6784/9866/1793,6784,9866,1793,2001,172.73,x
OS 6784/9866/1793,6784,9866,1793,7005,35.41,x
OS 6784/9866/1793,6784,9866,1793,8022,2.74,
OS 6784/9866/1793,6784,9866,1793,60B3,1.33,
OS 6784/9866/1793,6784,9866,1793,70K9,2.89,
OS 6784/9866/2011,6784,9866,2011,2001,325.89,x
OS 6784/9866/2011,6784,9866,2011,7005,35.41,x
OS 6784/9866/2011,6784,9866,2011,8022,35.15,
OS 6784/9866/2011,6784,9866,2011,60B3,1.33,
OS 6784/9866/2095,6784,9866,2095,2001,142.12,x
OS 6784/9866/2095,6784,9866,2095,7005,35.41,x
OS 6784/9866/2095,6784,9866,2095,8022,35.15,
OS 6784/9866/2095,6784,9866,2095,60B3,1.33,
OS 6784/9866/2057,6784,9866,2057,2001,154.29,x
OS 6784/9866/2057,6784,9866,2057,3087,8.87,
OS 6784/9866/2057,6784,9866,2057,7005,77.42,x
OS 6784/9866/2057,6784,9866,2057,8022,26.23,
OS 6784/9866/2057,6784,9866,2057,2001,328.08,x
OS 6784/9866/2057,6784,9866,2057,7005,67.46,x
OS 6784/9866/2057,6784,9866,2057,8022,48.95,
OS 6784/9866/2057,6784,9866,2057,60B3,2.88,
OS 6784/9866/2057,6784,9866,2057,30E5,-98.37,x
OS 6784/9866/1795,6784,9866,1795,2001,298.28,x
OS 6784/9866/1795,6784,9866,1795,7005,35.41,x
OS 6784/9866/1795,6784,9866,1795,8022,55.04,
OS 6784/9866/1795,6784,9866,1795,60B3,1.33,
OS 6784/9866/1906,6784,9866,1906,2001,244.39,x
OS 6784/9866/1906,6784,9866,1906,7005,35.41,x
OS 6784/9866/1906,6784,9866,1906,8022,2.74,
OS 6784/9866/1906,6784,9866,1906,60B3,1.33,
OS 6784/9866/1779,6784,9866,1779,2001,34.09,x
OS 6784/9866/1779,6784,9866,1779,7005,35.41,x
OS 6784/9866/1779,6784,9866,1779,8022,12.80,
OS 6784/9866/1779,6784,9866,1779,60B3,1.33,
OS 6784/9866/2112,6784,9866,2112,2001,575.68,x
OS 6784/9866/2112,6784,9866,2112,3087,8.87,
OS 6784/9866/2112,6784,9866,2112,7005,35.41,x
OS 6784/9866/2112,6784,9866,2112,8022,41.36,
OS 6784/9866/2112,6784,9866,2112,60B3,2.88,
OS 6784/9866/2112,6784,9866,2112,30E5,-110.56,x
OS 6784/9866/2016,6784,9866,2016,2001,260.20,x
OS 6784/9866/2016,6784,9866,2016,7005,35.41,x
OS 6784/9866/2016,6784,9866,2016,8022,72.65,
OS 6784/9866/2016,6784,9866,2016,60B3,1.33,
OS 6784/9866/1942,6784,9866,1942,2001,361.39,x
OS 6784/9866/1942,6784,9866,1942,7005,35.41,x
OS 6784/9866/1942,6784,9866,1942,8022,19.09,
OS 6784/9866/1942,6784,9866,1942,60B3,1.33,
OS 6784/9866/1942,6784,9866,1942,30E5,-5.57,x
OS 6784/9866/1822,6784,9866,1822,2001,518.06,x
OS 6784/9866/1822,6784,9866,1822,3087,8.87,
OS 6784/9866/1822,6784,9866,1822,7005,67.46,x
OS 6784/9866/1822,6784,9866,1822,8022,2.74,
OS 6784/9866/1822,6784,9866,1822,30E5,-110.37,x
OS 6784/9866/1880,6784,9866,1880,2001,275.52,x
OS 6784/9866/1880,6784,9866,1880,3087,8.87,
OS 6784/9866/1880,6784,9866,1880,7005,32.49,x
OS 6784/9866/1880,6784,9866,1880,8022,41.36,
OS 6784/9866/1880,6784,9866,1880,60B3,2.88,
OS 6784/9866/1880,6784,9866,1880,2001,585.01,x
OS 6784/9866/1880,6784,9866,1880,3087,8.87,
OS 6784/9866/1880,6784,9866,1880,7005,41.11,x
OS 6784/9866/1880,6784,9866,1880,8022,41.36,
OS 6784/9866/1880,6784,9866,1880,30E5,-11.86,x
OS 6784/9866/2098,6784,9866,2098,2001,46.58,x
OS 6784/9866/2098,6784,9866,2098,7005,35.41,x
OS 6784/9866/2098,6784,9866,2098,8022,10.50,
OS 6784/9866/2098,6784,9866,2098,2001,386.49,x
OS 6784/9866/2098,6784,9866,2098,7005,35.41,x
OS 6784/9866/2098,6784,9866,2098,8022,12.80,
OS 6784/9866/2098,6784,9866,2098,2001,386.49,x
OS 6784/9866/2098,6784,9866,2098,7005,41.11,x
OS 6784/9866/2098,6784,9866,2098,8022,48.95,
OS 6784/9866/2098,6784,9866,2098,20D6,-103.78,x
OS 6784/9866/1837,6784,9866,1837,2001,221.01,x
OS 6784/9866/1837,6784,9866,1837,7005,35.41,x
OS 6784/9866/1837,6784,9866,1837,8022,12.80,
OS 6784/9866/1837,6784,9866,1837,60B3,1.33,
OS 6784/9866/1837,6784,9866,1837,70K9,2.88,
OS 6784/9866/2054,6784,9866,2054,2001,18.98,x
OS 6784/9866/2054,6784,9866,2054,7005,35.41,x
OS 6784/9866/2054,6784,9866,2054,8022,79.94,
OS 6784/9866/2054,6784,9866,2054,60B3,1.33,
OS 6784/9866/1900,6784,9866,1900,2001,459.93,x
OS 6784/9866/1900,6784,9866,1900,3087,8.87,
OS 6784/9866/1900,6784,9866,1900,7005,35.41,x
OS 6784/9866/1900,6784,9866,1900,8022,14.38,
OS 6784/9866/1900,6784,9866,1900,2001,282.48,x
OS 6784/9866/1900,6784,9866,1900,3087,8.87,
OS 6784/9866/1900,6784,9866,1900,7005,67.46,x
OS 6784/9866/1900,6784,9866,1900,8022,41.36,
OS 6784/9866/1900,6784,9866,1900,30E5,-212.53,x
OS 6784/9866/2160,6784,9866,2160,2001,51.66,x
OS 6784/9866/2160,6784,9866,2160,7005,35.41,x
OS 6784/9866/2160,6784,9866,2160,8022,2.74,
OS 6784/9866/2160,6784,9866,2160,60B3,1.33,
OS 6784/9866/2124,6784,9866,2124,2001,156.64,x
OS 6784/9866/2124,6784,9866,2124,7005,35.41,x
OS 6784/9866/2124,6784,9866,2124,8022,14.03,
OS 6784/9866/2124,6784,9866,2124,60B3,1.33,
OS 6784/9866/2124,6784,9866,2124,2001,363.23,x
OS 6784/9866/2124,6784,9866,2124,7005,22.64,x
OS 6784/9866/2124,6784,9866,2124,8022,48.95,
OS 6784/9866/2124,6784,9866,2124,20D6,-20.91,x
OS 6784/9866/2259,6784,9866,2259,2001,256.70,x
OS 6784/9866/2259,6784,9866,2259,7005,35.41,x
OS 6784/9866/2259,6784,9866,2259,8022,67.46,
OS 6784/9866/2259,6784,9866,2259,60B3,1.33,
OS 6784/9866/2259,6784,9866,2259,30E5,-17.82,x
OS 6784/9866/2137,6784,9866,2137,2001,290.68,x
OS 6784/9866/2137,6784,9866,2137,7005,35.41,x
OS 6784/9866/2137,6784,9866,2137,8022,21.20,
OS 6784/9866/2137,6784,9866,2137,60B3,1.33,
OS 6784/9866/2234,6784,9866,2234,2001,130.52,x
OS 6784/9866/2234,6784,9866,2234,7005,35.41,x
OS 6784/9866/2234,6784,9866,2234,8022,35.41,
OS 6784/9866/2234,6784,9866,2234,60B3,1.33,
OS 6784/9866/2234,6784,9866,2234,2001,363.23,x
OS 6784/9866/2234,6784,9866,2234,7005,41.11,x
OS 6784/9866/2234,6784,9866,2234,8022,48.95,
OS 6784/9866/2234,6784,9866,2234,20D6,-20.91,x
OS 6784/9866/2241,6784,9866,2241,2001,244.39,x
OS 6784/9866/2241,6784,9866,2241,7005,35.41,x
OS 6784/9866/2241,6784,9866,2241,8022,67.46,
OS 6784/9866/2241,6784,9866,2241,60B3,1.33,
OS 6784/9866/1965,6784,9866,1965,2001,243.60,x
OS 6784/9866/1965,6784,9866,1965,7005,35.41,x
OS 6784/9866/1965,6784,9866,1965,8022,52.01,
OS 6784/9866/1965,6784,9866,1965,60B3,1.33,
OS 6784/9866/2261,6784,9866,2261,2001,244.39,x
OS 6784/9866/2261,6784,9866,2261,7005,35.41,x
OS 6784/9866/2261,6784,9866,2261,8022,19.09,
OS 6784/9866/2261,6784,9866,2261,60B3,1.33,
OS 6784/9866/1992,6784,9866,1992,2001,465.12,x
OS 6784/9866/1992,6784,9866,1992,7005,35.41,x
OS 6784/9866/1992,6784,9866,1992,8022,77.42,
OS 6784/9866/1992,6784,9866,1992,60B3,8.87,
OS 6784/9866/1992,6784,9866,1992,30E5,-145.20,x
OS 6784/9866/2261,6784,9866,2261,2001,308.87,x
OS 6784/9866/2261,6784,9866,2261,7005,35.41,x
OS 6784/9866/2261,6784,9866,2261,8022,19.09,
OS 6784/9866/2261,6784,9866,2261,60B3,1.33,
OS 6784/9866/2153,6784,9866,2153,2001,162.75,x
OS 6784/9866/2153,6784,9866,2153,7005,35.41,x
OS 6784/9866/2153,6784,9866,2153,8022,41.11,
OS 6784/9866/2153,6784,9866,2153,60B3,1.33,
OS 6784/9866/2090,6784,9866,2090,2001,459.93,x
OS 6784/9866/2090,6784,9866,2090,7005,67.46,x
OS 6784/9866/2090,6784,9866,2090,8022,14.03,
OS 6784/9866/2090,6784,9866,2090,30E5,-55.15,x
OS 6784/9866/2008,6784,9866,2008,2001,225.62,x
OS 6784/9866/2008,6784,9866,2008,7005,21.20,x
OS 6784/9866/2008,6784,9866,2008,8022,1.09,
